ID,merchant-name,merchant-description,physical-address,street-name,city,zip-code,latitude,longitude,country,state,vintage,price,bottle-size,format,volume,link
0,B-21,Wine merchant established in 1948. ex. sales tax,"43380 US Highway 19 North, Tarpon Springs, FL 34689", Tarpon Springs, Tarpon Springs,34689,28.165844,-82.74105,USA,FL,2018,19.98,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115521&wine_name_id_F=85261&merchant_id_F=34&price_F=14.5525465&page_no_F=1&line_no_F=1&ebp_price_F=29.105093&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
1,Saratoga Wine Exchange,Retail wine store located in upstate New York. Over 17 years experience in sourcing and selling wines. Can ship to 42 states. ex. sales tax,"43 Round Lake Road, Ballston Lake, NY 12019", Ballston Lake, Ballston Lake,12019,42.93436,-73.812305,USA,NY,2018,23.94,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=21821858&wine_name_id_F=85261&merchant_id_F=1801&price_F=17.436834&page_no_F=1&line_no_F=2&ebp_price_F=34.87367&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
2,Hi-Time Wine Cellars,"Retail wine, beer and spirits shop specializing in Californian, French and World Wines. ex. sales tax","250 Ogle Street, Costa Mesa, CA 92627", Costa Mesa, Costa Mesa,92627,33.6329,-117.918368,USA,CA,2018,23.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115921&wine_name_id_F=85261&merchant_id_F=313&price_F=17.473253&page_no_F=1&line_no_F=3&ebp_price_F=34.946507&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
3,Woods Wholesale Wine,Michigan's #1 Wine & Spirits Retailer. ex. sales tax,"20787 Mack Avenue, Grosse Pointe Woods, MI 48236", Grosse Pointe Woods, Grosse Pointe Woods,48236,42.445356,-82.906895,USA,MI,2018,24.94,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115198&wine_name_id_F=85261&merchant_id_F=3279&price_F=18.16519&page_no_F=1&line_no_F=4&ebp_price_F=36.33038&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
4,K&L Wine Merchants,Wine merchant established in 1976. ex. sales tax,"3005 El Camino Real, Redwood City, CA 94061", Redwood City, Redwood City,94061,37.468422,-122.210258,USA,CA,2018,24.95,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115431&wine_name_id_F=85261&merchant_id_F=40&price_F=18.172474&page_no_F=1&line_no_F=5&ebp_price_F=36.344948&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
5,Wine House,"Wine retailer serving customers from around the world for over 35 years from their 18,000 square foot facility. ex. sales tax","2311 Cotner Avenue, Los Angeles, CA 90064", Los Angeles, Los Angeles,90064,34.037552,-118.438123,USA,CA,2018,24.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115509&wine_name_id_F=85261&merchant_id_F=170&price_F=18.201609&page_no_F=1&line_no_F=6&ebp_price_F=36.403217&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
6,JJ Buckley Fine Wines,Online wine retailer. ex. sales tax,"Suite J, 7307 Edgewater Drive, Oakland, CA 94621", 7307 Edgewater Drive, Oakland,94621,37.74495,-122.207771,USA,CA,2018,25.94,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115324&wine_name_id_F=85261&merchant_id_F=11587&price_F=18.893547&page_no_F=1&line_no_F=7&ebp_price_F=37.787094&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
7,Rye Brook Wine & Spirit Shop,Speciality wine and spirits merchant. ex. sales tax,"259 S Ridge St, Rye Brook, Port Chester, NY 10573", Rye Brook, Port Chester,10573,40.999709,-73.680962,USA,NY,2018,25.98,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115702&wine_name_id_F=85261&merchant_id_F=13021&price_F=18.92268&page_no_F=1&line_no_F=8&ebp_price_F=37.84536&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
8,NapaCabs,Family owned wine retailer and restaurant established in 1995. ex. sales tax,"Suite A, 901 W Foothill Blvd, Upland, CA 91786", 901 W Foothill Blvd, Upland,91786,34.108503,-117.662926,USA,CA,2018,25.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115062&wine_name_id_F=85261&merchant_id_F=1112&price_F=18.929964&page_no_F=1&line_no_F=9&ebp_price_F=37.85993&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
9,Citarella Wines & Spirits - Greenwich,"Full service wine & spirits shop with a extensive collection from around the world. Focused on service and hospitality. In store shopping, curbside pickup, & same-day delivery in Greenwich. ex. sales tax","600 West Putnam Avenue, Greenwich, CT 06831", Greenwich, Greenwich,6831,41.0176,-73.646171,USA,CT,2018,26.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116030&wine_name_id_F=85261&merchant_id_F=147446&price_F=19.65832&page_no_F=1&line_no_F=10&ebp_price_F=39.31664&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
10,Gillette Ridge Wine & Spirits,Specialty wine store. ex. sales tax,"860 Cottage Grove Road, Bloomfield, CT 06002", Bloomfield, Bloomfield,6002,41.81694,-72.738027,USA,CT,2018,27.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116017&wine_name_id_F=85261&merchant_id_F=13689&price_F=20.386675&page_no_F=1&line_no_F=11&ebp_price_F=40.77335&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
